run:
ami49
3	5%	183	1.9929999999999999%	4.0489999999999995%	
3	10%	102	7.4190000000000005%	5.019%	
3	15%	89	14.194%	12.879999999999999%	
3	20%	77	10.678%	14.29%	
3	30%	75	14.482000000000001%	29.458000000000002%	
3	50%	72	33.694%	15.615000000000002%	
4	5%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
4	10%	237	8.0%	9.884%	
4	15%	199	14.394000000000002%	11.466999999999999%	
4	20%	140	16.215%	15.706999999999999%	
4	30%	92	27.994999999999997%	22.23%	
4	50%	87	41.085%	40.125%	
5	5%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
5	10%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
5	15%	304	13.736999999999998%	11.619%	
5	20%	243	14.048%	12.194%	
5	30%	139	25.898%	21.617%	
5	50%	92	45.458999999999996%	39.107%	
6	5%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
6	10%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
6	15%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
6	20%	250	19.852%	14.524000000000001%	
6	30%	241	29.902%	27.049%	
6	50%	106	49.370000000000005%	40.655%	
n100
3	5%	306	4.91%	4.607%	
3	10%	296	9.191%	8.681999999999999%	
3	15%	298	10.426%	14.756%	
3	20%	280	8.043%	12.525%	
3	30%	283	23.014000000000003%	17.793%	
3	50%	253	49.601%	30.563000000000002%	
4	5%	385	2.529%	3.5589999999999997%	
4	10%	346	7.731000000000001%	8.341%	
4	15%	343	14.741000000000001%	11.748%	
4	20%	338	16.076999999999998%	19.839000000000002%	
4	30%	330	26.085%	20.987000000000002%	
4	50%	308	46.163%	45.444%	
5	5%	439	4.725%	4.583%	
5	10%	386	8.344999999999999%	9.384%	
5	15%	366	14.368%	6.376999999999999%	
5	20%	368	17.956%	18.418%	
5	30%	351	19.123%	26.029999999999998%	
5	50%	347	46.882000000000005%	40.604%	
6	5%	2147483647	1.7976931348623157E308%	1.7976931348623157E308%	
6	10%	417	9.615%	9.277000000000001%	
6	15%	403	12.662%	14.914%	
6	20%	388	16.922%	15.864%	
6	30%	377	19.964000000000002%	26.209%	
6	50%	367	49.283%	43.674%	
n200
3	5%	681	4.421%	4.5%	
3	10%	689	8.974%	3.823%	
3	15%	683	3.099%	8.567%	
3	20%	626	18.665000000000003%	7.514%	
3	30%	586	28.720000000000002%	27.166%	
3	50%	556	48.114000000000004%	40.326%	
4	5%	795	3.7920000000000003%	1.9849999999999999%	
4	10%	773	8.273%	5.149%	
4	15%	767	11.932%	7.327999999999999%	
4	20%	761	16.131999999999998%	14.963000000000001%	
4	30%	757	16.242%	12.498%	
4	50%	644	49.434%	43.735%	
5	5%	864	3.789%	4.109999999999999%	
5	10%	841	7.443%	6.584%	
5	15%	836	13.962%	13.07%	
5	20%	824	17.898%	18.468%	
5	30%	814	23.24%	10.377%	
5	50%	725	48.265%	43.685%	
6	5%	1024	4.982%	4.852%	
6	10%	878	7.497%	9.902%	
6	15%	873	12.116%	12.231%	
6	20%	870	13.094%	17.307%	
6	30%	860	29.121000000000002%	29.522%	
6	50%	855	33.751%	32.074000000000005%	
n300
3	5%	774	3.588%	4.976%	
3	10%	767	8.92%	8.715%	
3	15%	758	5.655%	3.676%	
3	20%	750	13.652000000000001%	18.691%	
3	30%	743	25.782%	23.699%	
3	50%	718	46.971000000000004%	46.205%	
4	5%	891	4.111%	0.42500000000000004%	
4	10%	872	8.055%	7.404%	
4	15%	858	14.39%	13.804%	
4	20%	849	17.345%	16.161%	
4	30%	849	25.035%	24.492%	
4	50%	812	43.399%	40.923%	
5	5%	977	4.9%	3.714%	
5	10%	939	7.919%	3.3489999999999998%	
5	15%	931	7.2749999999999995%	10.365%	
5	20%	921	18.523%	17.113%	
5	30%	910	28.212%	17.375%	
5	50%	889	45.518%	40.839999999999996%	
6	5%	1135	4.277%	4.292%	
6	10%	984	7.945%	9.32%	
6	15%	980	12.311%	14.499%	
6	20%	960	15.658%	17.526%	
6	30%	957	29.139%	19.919999999999998%	
6	50%	935	35.496%	38.693%	
BUILD SUCCESSFUL (total time: 321 minutes 37 seconds)
